Datetime,Open,Volume,PE_Ratio,52_Week_High,52_Week_Low,Is_52_week_high,Is_52_week_low,Is_high,Is_low,Maket_index,Sector_index,SMA_20,SMA_50,EMA_20,EMA_50,BB_upper,BB_lower,RSI,MACD,Target,Delta_Target
2024-11-04 03:45:00+00:00,550.4500122070312,0,25.77386,596.0,402.1,0,0,1,0,24300.19921875,40253.1484375,,,548.5999755859375,548.5999755859375,,,,0.0,547.75,-0.8499755859375
2024-11-04 03:46:00+00:00,548.3499755859375,32483,25.77386,596.0,402.1,0,0,0,0,24198.400390625,40179.44921875,,,548.519025530134,548.5666432100185,,,,-0.04761767988452448,549.1500244140625,1.4000244140625
2024-11-04 03:47:00+00:00,547.3499755859375,22872,25.77386,596.0,402.1,0,0,0,1,24149.400390625,40151.44921875,,,548.5791206619367,548.5895209042948,,,,-0.010400242358059586,548.9000244140625,-0.25
2024-11-04 03:48:00+00:00,549.0,18543,25.77386,596.0,402.1,0,0,0,0,24141.400390625,40232.3515625,,,548.6096829240439,548.601697512521,,,,0.007985411522895447,548.8499755859375,-0.050048828125
2024-11-04 03:49:00+00:00,548.7000122070312,46843,25.77386,596.0,402.1,0,0,0,0,24130.400390625,40185.19921875,,,548.6325679394623,548.6114339075571,,,,0.021134031905262418,549.9500122070312,1.10003662109375
2024-11-04 03:50:00+00:00,548.8499755859375,27957,25.77386,596.0,402.1,0,0,0,0,24115.099609375,40196.3984375,,,548.7580388220879,548.6639271742032,,,,0.09411164788468795,549.6500244140625,-0.29998779296875
2024-11-04 03:51:00+00:00,549.7000122070312,19809,25.77386,596.0,402.1,0,0,0,0,24118.94921875,40242.19921875,,,548.8429898308474,548.7025976541977,,,,0.14039217664969783,550.2000122070312,0.54998779296875
2024-11-04 03:52:00+00:00,549.5,27665,25.77386,596.0,402.1,0,0,0,1,24118.849609375,40211.0,,,548.9722300571506,548.7613197935245,,,,0.21091026362603316,549.7000122070312,-0.5
2024-11-04 03:53:00+00:00,550.0999755859375,27183,25.77386,596.0,402.1,0,0,1,0,24107.599609375,40248.1015625,,,549.0415426428535,548.7981312607209,,,,0.24341138213264912,549.7999877929688,0.0999755859375
2024-11-04 03:54:00+00:00,549.5999755859375,24531,25.77386,596.0,402.1,0,0,0,1,24099.099609375,40227.19921875,,,549.113775514293,548.8374197521815,,,,0.2763557621115069,549.2000122070312,-0.5999755859375
2024-11-04 03:55:00+00:00,549.3499755859375,21101,25.77386,596.0,402.1,0,0,0,0,24084.099609375,40203.1015625,,,549.1219885326491,548.8516390641365,,,,0.27034946851256336,549.1500244140625,-0.04998779296875
2024-11-04 03:56:00+00:00,549.2999877929688,7120,25.77386,596.0,402.1,0,0,0,0,24106.80078125,40243.6015625,,,549.1246586165933,548.8633404504081,,,,0.26131816618510584,547.9500122070312,-1.20001220703125
2024-11-04 03:57:00+00:00,549.2999877929688,16663,25.77386,596.0,402.1,0,0,1,0,24113.25,40263.30078125,,,549.0127875299683,548.8275236565502,,,,0.18526387341808004,548.0999755859375,0.14996337890625
