Datetime,Open,Volume,PE_Ratio,52_Week_High,52_Week_Low,Is_52_week_high,Is_52_week_low,Is_high,Is_low,Maket_index,Sector_index,SMA_20,SMA_50,EMA_20,EMA_50,BB_upper,BB_lower,RSI,MACD,Target,Delta_Target
2024-11-04 03:45:00+00:00,5699.9501953125,0,39.369816,6574.95,4513.55,0,0,0,0,24300.19921875,40253.1484375,,,5690.0,5690.0,,,,0.0,5681.5498046875,-8.4501953125
2024-11-04 03:46:00+00:00,5682.2998046875,1753,39.369816,6574.95,4513.55,0,0,0,0,24198.400390625,40179.44921875,,,5689.195219494048,5689.668619791667,,,,-0.47340029761926417,5692.60009765625,11.05029296875
2024-11-04 03:47:00+00:00,5681.35009765625,897,39.369816,6574.95,4513.55,0,0,0,1,24149.400390625,40151.44921875,,,5689.519493604734,5689.783579707926,,,,-0.2640861031923123,5687.0498046875,-5.55029296875
2024-11-04 03:48:00+00:00,5688.0498046875,451,39.369816,6574.95,4513.55,0,0,0,0,24141.400390625,40232.3515625,,,5689.284285136426,5689.67637284438,,,,-0.392087707954488,5692.25,5.2001953125
2024-11-04 03:49:00+00:00,5684.0,410,39.369816,6574.95,4513.55,0,0,0,1,24130.400390625,40185.19921875,,,5689.566734171052,5689.777299399503,,,,-0.21056522845083236,5702.5498046875,10.2998046875
2024-11-04 03:50:00+00:00,5685.60009765625,644,39.369816,6574.95,4513.55,0,0,0,0,24115.099609375,40196.3984375,,,5690.80321707738,5690.278181959818,,,,0.5250351175627657,5695.75,-6.7998046875
2024-11-04 03:51:00+00:00,5697.39990234375,355,39.369816,6574.95,4513.55,0,0,1,0,24118.94921875,40242.19921875,,,5691.274339260487,5690.492763059433,,,,0.7815762010541221,5699.7998046875,4.0498046875
2024-11-04 03:52:00+00:00,5684.2001953125,469,39.369816,6574.95,4513.55,0,0,0,1,24118.849609375,40211.0,,,5692.086288348773,5690.857745084063,,,,1.2285432647104244,5700.0498046875,0.25
2024-11-04 03:53:00+00:00,5701.75,467,39.369816,6574.95,4513.55,0,0,0,0,24107.599609375,40248.1015625,,,5692.844718476272,5691.218218009689,,,,1.626500466582911,5704.4501953125,4.400390625
2024-11-04 03:54:00+00:00,5700.4501953125,196,39.369816,6574.95,4513.55,0,0,0,1,24099.099609375,40227.19921875,,,5693.9500019844845,5691.737119080388,,,,2.2128829040966593,5704.0,-0.4501953125
