Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS
Datetime,,,,,,
2024-10-29 03:45:00+00:00,5646.89990234375,5646.89990234375,5699.5498046875,5646.89990234375,5699.5498046875,0
2024-10-29 03:46:00+00:00,5638.85009765625,5638.85009765625,5649.14990234375,5631.0,5643.85009765625,2161
2024-10-29 03:47:00+00:00,5638.89990234375,5638.89990234375,5641.39990234375,5635.9501953125,5636.60009765625,883
2024-10-29 03:48:00+00:00,5636.5498046875,5636.5498046875,5643.0498046875,5626.9501953125,5626.9501953125,1657
2024-10-29 03:49:00+00:00,5641.0,5641.0,5651.10009765625,5641.0,5649.9501953125,1447
2024-10-29 03:50:00+00:00,5642.75,5642.75,5648.7998046875,5634.0,5639.2998046875,1440
2024-10-29 03:51:00+00:00,5641.0498046875,5641.0498046875,5654.9501953125,5641.0498046875,5644.2001953125,1017
2024-10-29 03:52:00+00:00,5639.64990234375,5639.64990234375,5648.5498046875,5634.89990234375,5640.75,1161
2024-10-29 03:53:00+00:00,5628.85009765625,5628.85009765625,5639.89990234375,5628.75,5637.5498046875,801
2024-10-29 03:54:00+00:00,5631.35009765625,5631.35009765625,5632.14990234375,5626.0498046875,5631.39990234375,755
2024-10-29 03:56:00+00:00,5628.9501953125,5628.9501953125,5635.5498046875,5628.0,5632.7001953125,3232
2024-10-29 03:57:00+00:00,5619.85009765625,5619.85009765625,5627.2001953125,5619.85009765625,5627.2001953125,268
2024-10-29 03:58:00+00:00,5621.7998046875,5621.7998046875,5627.0,5618.7001953125,5618.7001953125,2474
2024-10-29 03:59:00+00:00,5625.75,5625.75,5627.5498046875,5620.0498046875,5621.7998046875,273
2024-10-29 04:00:00+00:00,5634.85009765625,5634.85009765625,5634.85009765625,5622.60009765625,5624.0498046875,1201
2024-10-29 04:01:00+00:00,5634.39990234375,5634.39990234375,5640.89990234375,5634.39990234375,5639.10009765625,1170
2024-10-29 04:02:00+00:00,5643.35009765625,5643.35009765625,5643.35009765625,5634.39990234375,5634.39990234375,202
2024-10-29 04:03:00+00:00,5647.60009765625,5647.60009765625,5647.9501953125,5644.7001953125,5647.10009765625,355
2024-10-29 04:04:00+00:00,5652.2001953125,5652.2001953125,5653.5,5645.2998046875,5645.2998046875,845
2024-10-29 04:05:00+00:00,5656.9501953125,5656.9501953125,5656.9501953125,5648.0,5650.0,723
2024-10-29 04:06:00+00:00,5647.7001953125,5647.7001953125,5653.2998046875,5645.7001953125,5652.7998046875,1701
2024-10-29 04:07:00+00:00,5646.89990234375,5646.89990234375,5652.5,5646.89990234375,5651.14990234375,617
2024-10-29 04:08:00+00:00,5647.75,5647.75,5647.75,5644.5,5645.0,430
2024-10-29 04:09:00+00:00,5657.60009765625,5657.60009765625,5657.60009765625,5648.85009765625,5648.85009765625,395
2024-10-29 04:10:00+00:00,5651.5498046875,5651.5498046875,5662.4501953125,5651.5498046875,5656.25,1609
2024-10-29 04:11:00+00:00,5650.0,5650.0,5651.60009765625,5650.0,5650.75,443
2024-10-29 04:12:00+00:00,5650.0498046875,5650.0498046875,5655.2001953125,5650.0,5650.0,448
2024-10-29 04:13:00+00:00,5643.60009765625,5643.60009765625,5654.5498046875,5643.60009765625,5654.5498046875,934
2024-10-29 04:14:00+00:00,5644.2998046875,5644.2998046875,5644.2998046875,5638.7001953125,5643.7001953125,1410
2024-10-29 04:15:00+00:00,5662.89990234375,5662.89990234375,5663.0,5644.35009765625,5644.35009765625,2152
2024-10-29 04:16:00+00:00,5646.89990234375,5646.89990234375,5665.2001953125,5646.89990234375,5662.5498046875,3867
2024-10-29 04:17:00+00:00,5631.25,5631.25,5638.7998046875,5631.25,5636.35009765625,2148
2024-10-29 04:18:00+00:00,5637.35009765625,5637.35009765625,5641.60009765625,5633.7998046875,5633.7998046875,734
2024-10-29 04:19:00+00:00,5637.4501953125,5637.4501953125,5644.75,5637.4501953125,5638.10009765625,932
2024-10-29 04:20:00+00:00,5649.14990234375,5649.14990234375,5649.14990234375,5632.75,5640.2001953125,1623
2024-10-29 04:21:00+00:00,5652.14990234375,5652.14990234375,5652.14990234375,5646.60009765625,5648.0498046875,570
2024-10-29 04:22:00+00:00,5653.2001953125,5653.2001953125,5658.39990234375,5650.10009765625,5650.14990234375,289
2024-10-29 04:23:00+00:00,5654.7001953125,5654.7001953125,5655.39990234375,5650.0,5652.25,418
2024-10-29 04:24:00+00:00,5650.0498046875,5650.0498046875,5654.7001953125,5650.0,5654.7001953125,304
2024-10-29 04:25:00+00:00,5645.25,5645.25,5650.0,5642.2998046875,5650.0,1264
2024-10-29 04:26:00+00:00,5649.5,5649.5,5652.4501953125,5647.25,5652.4501953125,549
2024-10-29 04:27:00+00:00,5652.7001953125,5652.7001953125,5653.7998046875,5650.0,5650.0,804
2024-10-29 04:28:00+00:00,5648.64990234375,5648.64990234375,5652.64990234375,5648.64990234375,5652.64990234375,873
2024-10-29 04:29:00+00:00,5644.2001953125,5644.2001953125,5648.5,5643.7998046875,5648.5,1165
