Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS
Datetime,,,,,,
2024-10-29 03:45:00+00:00,5869.89990234375,5869.89990234375,5924.7998046875,5869.89990234375,5924.7998046875,0
2024-10-29 03:46:00+00:00,5863.14990234375,5863.14990234375,5870.0,5859.4501953125,5859.4501953125,1376
2024-10-29 03:47:00+00:00,5854.5,5854.5,5855.5498046875,5848.9501953125,5855.10009765625,1825
2024-10-29 03:48:00+00:00,5863.7001953125,5863.7001953125,5865.10009765625,5855.89990234375,5855.89990234375,1470
2024-10-29 03:49:00+00:00,5866.85009765625,5866.85009765625,5875.25,5865.14990234375,5870.39990234375,2309
2024-10-29 03:50:00+00:00,5867.75,5867.75,5867.75,5860.10009765625,5863.35009765625,416
2024-10-29 03:51:00+00:00,5863.64990234375,5863.64990234375,5872.25,5863.64990234375,5867.10009765625,439
2024-10-29 03:52:00+00:00,5881.25,5881.25,5884.89990234375,5860.0498046875,5863.60009765625,2632
2024-10-29 03:53:00+00:00,5879.75,5879.75,5886.35009765625,5877.0,5881.2998046875,578
2024-10-29 03:54:00+00:00,5880.7998046875,5880.7998046875,5886.5,5876.0,5876.0,418
2024-10-29 03:56:00+00:00,5890.60009765625,5890.60009765625,5896.75,5890.60009765625,5895.0,315
2024-10-29 03:57:00+00:00,5889.75,5889.75,5889.75,5889.75,5889.75,102
2024-10-29 03:58:00+00:00,5893.9501953125,5893.9501953125,5893.9501953125,5889.10009765625,5889.10009765625,456
2024-10-29 03:59:00+00:00,5891.35009765625,5891.35009765625,5891.35009765625,5888.5498046875,5888.5498046875,49
2024-10-29 04:00:00+00:00,5890.85009765625,5890.85009765625,5893.9501953125,5885.0,5893.9501953125,152
2024-10-29 04:01:00+00:00,5890.0,5890.0,5895.35009765625,5890.0,5890.85009765625,206
2024-10-29 04:02:00+00:00,5891.85009765625,5891.85009765625,5891.85009765625,5885.35009765625,5888.2001953125,74
2024-10-29 04:03:00+00:00,5894.0,5894.0,5894.5,5891.39990234375,5891.39990234375,118
2024-10-29 04:04:00+00:00,5893.2001953125,5893.2001953125,5899.0,5892.60009765625,5899.0,325
